City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mataura,-46.19,168.86,59.83,62.0,0.0,3.47,NZ,1588967507.0
Vaini,-21.2,-175.2,82.4,83.0,75.0,16.11,TO,1589047305.0
Ahipara,-35.17,173.17,65.41,63.0,0.0,8.25,NZ,1588965018.0
Xining,36.62,101.77,38.32,74.0,92.0,2.15,CN,1588975861.0
Severo-Kuril'sk,50.68,156.12,34.47,88.0,83.0,15.59,RU,1588960573.0
Golden,39.76,-105.22,62.01,30.0,75.0,12.75,US,1588938756.0
Thompson,55.74,-97.86,33.8,59.0,20.0,10.29,CA,1588933929.0
Atuona,-9.8,-139.03,81.63,74.0,100.0,15.03,PF,1588951284.0
Vardø,70.37,31.11,34.21,83.0,100.0,6.89,NO,1588980010.0
Bredasdorp,-34.53,20.04,60.8,87.0,87.0,3.36,ZA,1589001719.0
Ushuaia,-54.8,-68.3,46.4,75.0,20.0,4.7,AR,1588939654.0
Kyra,49.58,111.98,41.77,69.0,100.0,7.76,RU,1588971383.0
Manaia,-39.55,174.13,63.0,76.0,0.0,1.99,NZ,1588965306.0
Omsukchan,62.53,155.8,29.73,96.0,80.0,8.37,RU,1588956945.0
Nikolskoye,59.7,30.79,44.6,56.0,71.0,6.71,RU,1588988086.0
Punta Arenas,-53.15,-70.92,41.0,86.0,100.0,6.93,CL,1588939910.0
Avarua,-21.21,-159.78,82.4,74.0,19.0,16.11,CK,1588957179.0
Lebu,-37.62,-73.65,57.54,94.0,100.0,5.91,CL,1588938120.0
Sinnamary,5.38,-52.95,78.53,80.0,100.0,10.69,GF,1588929484.0
Busselton,-33.65,115.33,39.0,92.0,0.0,5.99,AU,1588978741.0
Rikitea,-23.12,-134.97,76.06,69.0,90.0,5.88,PF,1588951388.0
Longyearbyen,78.22,15.64,26.6,73.0,40.0,12.75,SJ,0.0
Cabo San Lucas,22.89,-109.91,87.8,28.0,5.0,12.75,MX,1588941725.0
Khatanga,71.97,102.5,25.34,95.0,100.0,21.94,RU,0.0
Fortuna,40.6,-124.16,59.0,93.0,1.0,12.75,US,1588943183.0
Castro,-24.79,-50.01,47.84,92.0,0.0,3.47,BR,1588931138.0
East London,-33.02,27.91,69.35,72.0,91.0,3.49,ZA,1588999665.0
Cape Town,-33.93,18.42,57.2,93.0,93.0,1.12,ZA,1589002042.0
Rocha,-34.48,-54.33,48.4,87.0,0.0,5.82,UY,1588933125.0
Husavik,66.04,-17.34,33.8,59.0,75.0,3.36,IS,1588996357.0
Champotón,19.35,-90.72,84.2,74.0,75.0,11.41,MX,1588937433.0
Hermanus,-34.42,19.23,60.01,79.0,100.0,9.4,ZA,1589001901.0
Colares,38.8,-9.45,61.0,79.0,100.0,6.76,PT,1589002255.0
Port Elizabeth,-33.92,25.57,60.8,100.0,90.0,3.36,ZA,1589000324.0
Ucluelet,48.93,-125.55,70.0,45.0,20.0,3.36,CA,1588942150.0
Hilo,19.73,-155.09,84.2,51.0,20.0,12.75,US,1588952844.0
Teguise,29.06,-13.56,66.2,77.0,75.0,2.24,ES,1589004378.0
Guerrero Negro,27.98,-114.06,71.49,62.0,0.0,17.0,MX,1588942237.0
Vila Franca do Campo,37.72,-25.43,59.0,93.0,75.0,11.41,PT,1589006229.0
Yarim,14.3,44.38,56.57,60.0,0.0,4.41,YE,1588991817.0
Touros,-5.2,-35.46,78.8,88.0,75.0,4.7,BR,1588926078.0
Porbandar,21.64,69.61,80.02,84.0,0.0,6.26,IN,1588985137.0
Lagoa,39.05,-27.98,61.27,89.0,100.0,18.84,PT,1589006666.0
Hong Kong,22.29,114.16,86.0,70.0,75.0,9.17,HK,1588974390.0
Yellowknife,62.46,-114.35,37.4,64.0,75.0,12.75,CA,1588935458.0
Kapaa,22.08,-159.32,80.6,61.0,20.0,19.46,US,1588953652.0
Lorengau,-2.02,147.27,85.21,73.0,87.0,4.7,PG,1588968385.0
Pathein,16.78,94.73,85.87,68.0,88.0,10.92,MM,1588979530.0
Bluff,-46.6,168.33,57.29,73.0,0.0,7.85,NZ,1588967700.0
Port Hawkesbury,45.62,-61.35,42.8,52.0,1.0,10.29,CA,1588927354.0
Mahébourg,-20.41,57.7,71.6,94.0,40.0,2.24,MU,1588991326.0
Sawang Daen Din,17.48,103.46,90.21,54.0,82.0,6.6,TH,1588977377.0
Pangnirtung,66.15,-65.71,28.92,91.0,100.0,0.25,CA,1588921694.0
Tasiilaq,65.61,-37.64,28.4,86.0,98.0,3.36,GL,1588915345.0
Manutuke,-38.68,177.92,64.0,64.0,0.0,4.0,NZ,1588964287.0
Kiryat Gat,31.61,34.76,64.99,76.0,56.0,4.0,IL,1588992516.0
Bentiu,9.23,29.83,84.61,57.0,100.0,4.09,SS,1588995713.0
Taunggyi,20.78,97.03,74.07,53.0,0.0,1.77,MM,1588978635.0
Gijón,43.54,-5.66,59.0,90.0,2.0,2.82,ES,1589000662.0
Galveston,29.37,-94.97,73.0,83.0,90.0,16.11,US,1588937517.0
Sobolevo,54.43,31.9,42.66,69.0,91.0,5.19,RU,1588989467.0
Kaitangata,-46.28,169.85,57.99,61.0,0.0,1.99,NZ,1588967283.0
Susa,32.19,48.24,75.74,29.0,2.0,3.53,IR,1588989219.0
San Patricio,19.22,-104.7,80.6,69.0,5.0,6.02,MX,1588940798.0
Saint Paul Harbor,57.79,-152.41,44.6,87.0,90.0,18.34,US,1588946387.0
Bambous Virieux,-20.34,57.76,71.6,94.0,40.0,2.24,MU,1588991305.0
Torbay,47.67,-52.73,37.0,92.0,5.0,16.11,CA,1588924928.0
Nemuro,43.32,145.57,71.6,24.0,0.0,10.29,JP,1588964431.0
Goderich,43.75,-81.72,36.0,68.0,0.0,17.67,CA,1588932541.0
Upernavik,72.79,-56.15,21.47,90.0,100.0,10.25,GL,0.0
George Town,5.41,100.34,82.4,94.0,20.0,2.24,MY,1588979087.0
Provideniya,64.38,-173.3,43.41,62.0,0.0,16.51,RU,1589034774.0
Bermejo,-32.88,-68.8,53.6,71.0,0.0,2.73,AR,1588936429.0
Carnarvon,-24.87,113.63,68.77,42.0,100.0,22.01,AU,1588978288.0
Talnakh,69.49,88.4,39.2,93.0,40.0,24.61,RU,1588967723.0
Safi,32.3,-9.24,62.98,80.0,5.0,5.39,MA,1589002994.0
Swellendam,-34.02,20.44,60.8,87.0,4.0,3.36,ZA,1589001567.0
Puerto Ayora,-0.74,-90.35,77.0,94.0,77.0,1.01,EC,1588938919.0
Mitsamiouli,-11.38,43.28,80.22,77.0,100.0,14.52,KM,1588994057.0
Ţahţā,26.77,31.5,77.0,25.0,0.0,14.99,EG,1588993799.0
Troitsko-Pechorsk,62.71,56.2,45.5,95.0,100.0,4.16,RU,1588980713.0
Albany,42.6,-73.97,37.99,73.0,100.0,10.04,US,1588930858.0
Dwārka,22.24,68.97,81.77,83.0,0.0,10.42,IN,1588985236.0
Barrow,71.29,-156.79,21.2,85.0,90.0,11.41,US,1588936867.0
Vila Velha,-20.33,-40.29,70.0,77.0,20.0,6.93,BR,1588928419.0
Mar del Plata,-38.0,-57.56,57.2,71.0,57.0,14.99,AR,1588934301.0
Itacoatiara,-3.14,-58.44,78.8,100.0,75.0,2.24,BR,1588931439.0
Butaritari,3.07,172.79,83.23,73.0,100.0,7.99,KI,1588961878.0
Lavrentiya,65.58,-171.0,36.77,87.0,1.0,13.91,RU,1589033459.0
Tuktoyaktuk,69.45,-133.04,33.8,80.0,5.0,16.11,CA,1588934674.0
Tabuk,17.42,121.44,86.41,64.0,17.0,2.01,PH,1588973068.0
Erzincan Province,39.75,39.5,46.4,81.0,90.0,11.41,TR,1588990387.0
Zabaykal'sk,49.63,117.32,57.87,33.0,100.0,5.77,RU,1588970093.0
Te Anau,-45.42,167.72,61.34,65.0,1.0,5.73,NZ,1588967660.0
Saint-Philippe,-21.36,55.77,71.6,53.0,20.0,9.17,RE,1588991870.0
Foumban,5.73,10.9,63.57,94.0,31.0,2.48,CM,1589000526.0
Torquay,50.46,-3.51,54.0,7.0,19.0,6.15,GB,1588998889.0
Jamestown,42.1,-79.24,33.01,80.0,90.0,11.41,US,1588932196.0
Waddān,29.16,16.14,64.22,45.0,41.0,11.01,LY,1588997243.0
Lüderitz,-26.65,15.16,51.8,100.0,0.0,1.12,,1589002093.0
Zhanakorgan,43.91,67.25,65.95,73.0,36.0,16.37,KZ,1588983120.0
Kununurra,-15.77,128.73,82.4,39.0,66.0,3.36,AU,1588973892.0
Ancud,-41.87,-73.82,55.99,100.0,90.0,8.05,CL,1588938697.0
KwaDukuza,-29.33,31.29,60.8,87.0,47.0,4.7,ZA,1588998477.0
Uray,60.12,64.78,59.34,54.0,0.0,8.61,RU,1588979782.0
Port Alfred,-33.59,26.89,62.01,97.0,3.0,6.62,ZA,1588999971.0
Geraldton,-28.77,114.6,59.0,54.0,77.0,12.75,AU,1588978419.0
Kodinsk,58.69,99.18,46.98,59.0,98.0,3.8,RU,1588972063.0
New Norfolk,-42.78,147.06,54.0,83.0,100.0,2.84,AU,1588972235.0
Coahuayana Viejo,18.73,-103.68,82.4,48.0,20.0,17.22,MX,1588940595.0
Mulchén,-37.72,-72.23,57.38,85.0,7.0,7.56,CL,1588937791.0
Okhotsk,59.38,143.3,37.44,74.0,100.0,5.19,RU,1588961247.0
Esperance,-33.87,121.9,50.0,93.0,75.0,5.82,AU,1588977187.0
Katobu,-4.94,122.53,83.59,68.0,82.0,7.76,ID,1588974543.0
Qaqortoq,60.72,-46.03,44.6,70.0,84.0,4.7,GL,1588919847.0
Kruisfontein,-34.0,24.73,55.51,95.0,0.0,2.73,ZA,1589000534.0
Algiers,36.75,3.04,66.2,93.0,40.0,5.82,DZ,1588999524.0
Souillac,-20.52,57.52,71.6,94.0,40.0,2.24,MU,1588991378.0
Launceston,-41.45,147.17,54.0,93.0,90.0,10.29,AU,1588972027.0
Hithadhoo,-0.6,73.08,85.01,78.0,100.0,15.75,MV,1588986084.0
Yangi Marg`ilon,40.43,71.72,66.2,52.0,100.0,9.17,UZ,1588982566.0
Mehrān,33.12,46.16,53.6,50.0,0.0,6.93,IR,1588989614.0
Neiafu,-18.65,-173.98,82.4,78.0,75.0,13.87,TO,1589046795.0
Sola,-13.88,167.55,86.0,66.0,20.0,5.82,VU,1588964423.0
Pevek,69.7,170.31,35.74,84.0,0.0,2.42,RU,1588947866.0
Chokurdakh,70.63,147.92,27.48,98.0,100.0,6.96,RU,1588951648.0
Rome,43.21,-75.46,37.0,59.0,90.0,13.87,US,1588931123.0
Acapulco de Juárez,16.86,-99.89,84.2,70.0,20.0,10.29,MX,1588939843.0
Nome,64.5,-165.41,55.4,37.0,75.0,14.99,US,1588946620.0
Los Llanos de Aridane,28.66,-17.92,68.0,72.0,75.0,4.7,ES,1589005465.0
Cidreira,-30.18,-50.21,60.26,79.0,0.0,7.23,BR,1588931691.0
Yei,4.09,30.68,68.5,96.0,99.0,2.82,SS,1588995905.0
Battle Creek,42.32,-85.18,35.6,37.0,1.0,13.87,US,1588933588.0
Chippewa Falls,44.94,-91.39,44.01,26.0,1.0,6.93,US,1588934669.0
Klaksvík,62.23,-6.59,37.4,71.0,98.0,16.11,FO,1588995981.0
Tazovsky,67.47,78.7,34.32,98.0,100.0,14.34,RU,1588972236.0
Måløy,61.94,5.11,44.6,75.0,100.0,17.22,NO,1588993313.0
Honningsvåg,70.98,25.97,34.81,82.0,94.0,16.15,NO,1588979900.0
Hobart,-42.88,147.33,54.0,81.0,75.0,5.82,AU,1588972185.0
Sovetskaya Gavan',48.97,140.29,52.65,48.0,6.0,9.04,RU,1588964717.0
Mil'kovo,54.72,158.62,38.26,74.0,100.0,9.55,RU,1588959018.0
San Quintín,30.48,-115.95,68.97,67.0,0.0,7.02,MX,1588942434.0
Maceió,-9.67,-35.74,78.8,83.0,40.0,3.36,BR,1588926482.0
Abu Dhabi,24.47,54.37,82.0,69.0,0.0,3.36,AE,1588988533.0
Broome,42.25,-75.83,32.0,92.0,90.0,17.22,US,1588931356.0
El Alto,-4.27,-81.21,71.37,84.0,18.0,17.52,PE,1588936989.0
Dikson,73.51,80.55,23.68,95.0,9.0,14.2,RU,0.0
Alindao,5.03,21.21,72.19,95.0,32.0,6.6,CF,1588998106.0
Kampene,-3.6,26.67,68.45,97.0,5.0,2.01,CD,1588997449.0
Bubaque,11.28,-15.83,78.62,76.0,100.0,12.35,GW,1589006507.0
Naze,28.37,129.48,75.2,78.0,75.0,13.87,JP,1588970135.0
Mayfield,36.74,-88.64,52.0,69.0,1.0,10.29,US,1588935171.0
Raub,3.79,101.86,80.87,84.0,76.0,1.21,MY,1588978846.0
Yumen,40.28,97.2,57.6,26.0,90.0,2.35,CN,1588976476.0
Avera,33.19,-82.53,68.0,60.0,90.0,4.7,US,1588934123.0
Price,39.6,-110.81,69.8,9.0,1.0,16.11,US,1588940119.0
Nantucket,41.28,-70.1,48.2,87.0,90.0,6.93,US,1588930122.0
Velikiy Ustyug,60.76,46.31,40.86,94.0,98.0,4.81,RU,1588983952.0
Severnoye,56.35,78.36,60.82,49.0,50.0,7.47,RU,1588977799.0
Grand-Lahou,5.14,-5.02,81.34,85.0,100.0,7.29,CI,1589004392.0
Davila,18.47,120.58,87.8,62.0,20.0,2.24,PH,1588973185.0
Clyde River,70.47,-68.59,14.0,92.0,90.0,18.34,CA,1588917732.0
Kahului,20.89,-156.47,80.6,61.0,40.0,18.34,US,1588953074.0
Marsá Maţrūḩ,31.35,27.25,62.6,67.0,0.0,13.87,EG,1588994346.0
Saddiqabad,28.31,70.13,87.33,24.0,0.0,9.22,PK,1588984378.0
Juradó,7.11,-77.76,79.02,86.0,98.0,1.16,CO,1588935307.0
Kavieng,-2.57,150.8,85.8,69.0,0.0,7.96,PG,1588967580.0
Raja,8.46,25.68,74.86,82.0,100.0,6.93,SS,1588996769.0
Jinchang,38.5,102.17,57.22,26.0,0.0,10.78,CN,1588975525.0
Sabang,5.89,95.32,82.04,80.0,100.0,4.63,ID,1588980255.0
Ilulissat,69.22,-51.1,30.2,80.0,100.0,2.24,GL,1588915386.0
Tuatapere,-46.13,167.68,62.31,66.0,0.0,6.15,NZ,1588967781.0
Tucuruí,-3.77,-49.67,76.33,88.0,91.0,1.23,BR,1588929381.0
Villa María,-32.41,-63.24,55.99,70.0,100.0,3.0,AR,1588935045.0
Burnie,-41.07,145.92,55.0,81.0,100.0,8.99,AU,1588972277.0
Olafsvik,64.89,-23.71,36.95,74.0,0.0,8.3,IS,1588998650.0
Ponta do Sol,32.67,-17.1,64.4,72.0,20.0,5.82,PT,1589004838.0
Uauá,-9.84,-39.48,73.62,82.0,97.0,12.77,BR,1588927392.0
Cockburn Town,21.46,-71.14,80.51,84.0,100.0,18.34,TC,1588932551.0
Bairiki Village,1.33,172.98,87.8,70.0,20.0,8.05,KI,1588961964.0
Namatanai,-3.67,152.43,86.74,65.0,0.0,6.06,PG,1588967271.0
Huanren,41.26,125.37,55.98,76.0,95.0,2.95,CN,1588969582.0
Sitka,57.05,-135.33,55.4,62.0,90.0,5.82,US,1588942526.0
Puerto Nariño,-3.77,-70.38,73.4,94.0,90.0,1.92,CO,1588934352.0
Narsaq,60.92,-46.05,44.6,70.0,93.0,4.7,GL,1588919771.0
Bamako,12.65,-8.0,86.0,51.0,20.0,5.82,ML,1589004519.0
Kuala Terengganu,5.33,103.14,78.8,94.0,20.0,4.7,MY,1588978422.0
Biak,-0.91,122.88,84.13,71.0,95.0,6.33,ID,1588974156.0
Cherskiy,68.75,161.3,37.09,83.0,0.0,3.94,RU,1588951212.0
General José Eduvigis Díaz,-27.17,-58.42,57.2,71.0,0.0,4.7,PY,1588933374.0
Celestún,20.87,-90.4,80.64,78.0,0.0,15.03,MX,1588937224.0
Marawi,8.0,124.29,84.99,80.0,100.0,5.99,PH,1588973141.0
Barra do Garças,-15.89,-52.26,68.76,87.0,19.0,4.16,BR,1588930930.0
San Rafael,-34.62,-68.33,61.65,40.0,2.0,13.89,AR,1588936502.0
Newport,51.59,-3.0,57.0,91.0,60.0,6.02,GB,1588998521.0
Faanui,-16.48,-151.75,81.93,79.0,14.0,13.13,PF,1588954860.0
Saint George,37.1,-113.58,89.6,6.0,1.0,6.93,US,1588941108.0
Leningradskiy,69.38,178.42,33.73,91.0,12.0,7.67,RU,1588946363.0
Kupang,-10.17,123.58,86.0,62.0,20.0,6.93,ID,1588974689.0
Sur,22.57,59.53,88.02,45.0,0.0,8.75,OM,1588987471.0
Värnamo,57.19,14.04,42.01,92.0,13.0,1.01,SE,1588992958.0
Salalah,17.02,54.09,82.4,88.0,20.0,4.7,OM,1588989261.0
Puerto Escondido,15.85,-97.07,86.0,79.0,40.0,9.17,MX,1588939250.0
Kang,-23.68,22.79,57.52,42.0,0.0,5.59,BW,1588999990.0
Chui,-33.7,-53.46,51.26,76.0,0.0,4.61,UY,1588932832.0
Konakovo,56.7,36.77,40.98,94.0,71.0,3.69,RU,1588987662.0
Vikhorevka,56.12,101.16,42.8,75.0,20.0,6.71,RU,1588972402.0
Urbano Santos,-3.21,-43.4,75.02,92.0,97.0,2.26,BR,1588927835.0
Zhuhai,22.28,113.57,86.0,94.0,40.0,11.41,CN,1588974533.0
Saint-Pierre,-21.34,55.48,71.6,53.0,20.0,9.17,RE,1588991938.0
Concordia,-31.39,-58.02,51.01,81.0,0.0,7.0,AR,1588933687.0
Itoman,26.12,127.67,78.8,78.0,75.0,14.99,JP,1588970791.0
Arrondissement de Saint-Jean-de-Maurienne,45.17,6.58,48.99,83.0,1.0,1.01,FR,1588997463.0
Plouzané,48.38,-4.62,57.2,93.0,17.0,2.24,FR,1588999574.0
Kargasok,59.06,80.86,61.66,60.0,100.0,9.22,RU,1588976323.0
Drumheller,51.46,-112.71,57.0,44.0,33.0,12.19,CA,1588938549.0
Muaná,-1.53,-49.22,77.36,93.0,100.0,4.79,BR,1588929106.0
Cabra,37.47,-4.44,60.01,79.0,80.0,3.0,ES,1589001227.0
Arraial do Cabo,-22.97,-42.03,71.4,57.0,46.0,6.64,BR,1588929062.0
Byron Bay,-28.65,153.62,75.0,60.0,75.0,5.82,AU,1588969039.0
Caraballeda,10.61,-66.85,73.99,68.0,100.0,12.24,VE,1588932419.0
Almaznyy,48.04,40.05,48.2,87.0,0.0,8.95,RU,1588988929.0
Molina,-35.12,-71.28,63.0,67.0,100.0,2.24,CL,1588937265.0
Verāval,20.9,70.37,80.78,83.0,0.0,7.67,IN,1588985020.0
Grindavik,63.84,-22.43,35.6,55.0,0.0,12.75,IS,1588998958.0
Kyakhta,50.35,106.45,42.76,63.0,100.0,18.28,RU,1588972551.0
Kasongo-Lunda,-6.47,16.82,71.74,78.0,36.0,0.89,CD,1589000031.0
Nelson Bay,-32.72,152.15,71.6,53.0,75.0,6.93,AU,1588969801.0
Mariestad,58.71,13.82,41.0,100.0,34.0,4.7,SE,1588992510.0
San Miguel de Tucumán,-26.82,-65.22,57.2,82.0,0.0,8.05,AR,1588934974.0
Vestmannaeyjar,63.44,-20.27,40.95,69.0,19.0,6.91,IS,1588998656.0
Kalulushi,-12.84,28.09,54.86,93.0,31.0,4.05,ZM,1588997817.0
Puerto Baquerizo Moreno,-0.9,-89.6,76.8,89.0,78.0,8.48,EC,1588938751.0
Lompoc,34.64,-120.46,75.0,63.0,1.0,4.7,US,1588943055.0
San Ignacio,17.16,-89.07,80.01,73.0,77.0,1.99,BZ,1588937222.0
Tiksi,71.69,128.87,18.95,97.0,100.0,13.47,RU,1588952699.0
Agadez,19.75,10.25,78.28,13.0,0.0,6.51,NE,1588999546.0
Vostok,46.49,135.88,61.59,37.0,100.0,3.98,RU,1588966233.0
Codrington,-38.27,141.97,53.51,68.0,100.0,17.36,AU,1588972871.0
Karpogory,64.0,44.45,34.92,92.0,88.0,3.53,RU,1588982854.0
Port-Cartier,50.03,-66.87,37.99,86.0,40.0,3.36,CA,1588927863.0
Ilhabela,-23.78,-45.36,66.45,71.0,27.0,5.19,BR,1588929932.0
Kovūr,14.48,79.98,82.72,76.0,7.0,12.59,IN,1588983260.0
Constitución,-35.33,-72.42,55.74,91.0,100.0,5.82,CL,1588937562.0
São Filipe,14.9,-24.5,73.45,76.0,1.0,10.47,CV,1589008295.0
Merritt Island,28.54,-80.67,75.2,73.0,1.0,5.82,US,1588934171.0
Kincardine,56.07,-3.72,50.0,100.0,0.0,1.12,GB,1588997552.0
Sørland,67.67,12.69,33.84,84.0,100.0,11.99,NO,1588987845.0
Batetskiy,58.65,30.3,38.16,81.0,47.0,5.19,RU,1588988582.0
Pierre,44.37,-100.35,53.6,58.0,1.0,5.82,US,1588936910.0
Binzhou,37.37,118.02,57.0,91.0,87.0,1.01,CN,1588971869.0
‘Āhuimanu,21.44,-157.84,82.4,48.0,1.0,16.11,US,1588953354.0
Vredendal,-31.67,18.5,60.13,55.0,0.0,2.19,ZA,1589001783.0
Necochea,-38.55,-58.74,53.01,87.0,100.0,7.0,AR,1588934651.0
Araouane,18.9,-3.53,86.95,11.0,0.0,6.02,ML,1589002926.0
Kalmunai,7.42,81.82,81.39,82.0,0.0,4.07,LK,1588983377.0
Nanortalik,60.14,-45.24,39.6,72.0,0.0,2.37,GL,1588919885.0
Estelle,29.85,-90.11,69.8,100.0,90.0,12.75,US,1588936301.0
Adré,13.47,22.2,74.16,19.0,0.0,7.54,TD,1588997206.0
Rassvet,46.83,40.75,45.59,92.0,85.0,10.51,RU,1588988983.0
Vengerovo,55.68,76.75,60.3,53.0,3.0,5.79,RU,1588978378.0
Homer,59.64,-151.55,51.8,53.0,75.0,13.87,US,1588945543.0
Hobyo,5.35,48.53,83.86,76.0,0.0,8.08,SO,1588991525.0
Ballina,-28.87,153.57,75.0,60.0,75.0,5.82,AU,1588969072.0
Mehamn,71.04,27.85,31.75,92.0,99.0,13.22,NO,1588979291.0
Bethel,41.37,-73.41,43.0,93.0,90.0,3.36,US,1588930903.0
Le Mans,48.0,0.2,60.8,82.0,100.0,3.36,FR,1588998491.0
Ribeira Grande,38.52,-28.7,63.3,91.0,100.0,18.97,PT,1589006909.0
